"","user_id","created_at","screen_name","text","source","favorite_count","retweet_count","...1","...2","...3","...4","lang","location","account_created_at","followers_count"
"98","25073877",2020-06-07 18:53:03,"realDonaldTrump","Congressman Joe Wilson is a champion for the people of South Carolina! He served our Country as a Colonel in the Army, and now he serves our Military &amp; Vets in Congress. Strong on the #2A and Border Security! Joe has my Complete &amp; Total Endorsement! #SC02 https://t.co/6rE7vg1vhr","Twitter for iPhone",37006,9967,"2A","SC02",NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"99","25073877",2020-06-07 18:49:26,"realDonaldTrump","Senator @LindseyGrahamSC is a good friend and strong voice for the people of South Carolina. He’s helped us confirm GREAT Judges, rebuild the Military, and keep our Country SAFE. Strong on Life and our Vets. Lindsey has my Complete and Total Endorsement! https://t.co/UzEJ5jjnNX","Twitter for iPhone",48119,11424,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"100","25073877",2020-06-07 18:37:18,"realDonaldTrump","https://t.co/7YsXCmfHBy","Twitter Media Studio",42772,12793,NA,NA,NA,NA,"und","Washington, DC",2009-03-18 13:46:38,82018730
"101","25073877",2020-06-07 15:27:27,"realDonaldTrump","Now that the economy is doing well again, Obama will be taking credit for it.","Twitter for iPhone",0,11885,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"102","25073877",2020-06-07 15:27:25,"realDonaldTrump","President Trump is going to save America... 

twice... 

in his first term!","Twitter for iPhone",0,17213,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"103","25073877",2020-06-07 15:26:37,"realDonaldTrump","Leaders Lead. Cowards kneel. https://t.co/PddAbdG8Vj","Twitter for iPhone",0,40129,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"104","25073877",2020-06-07 15:23:04,"realDonaldTrump","@realDonaldTrump Retired bureaucrats hate President Trump because he’s draining the swamp and ending the corruption that pads their retirement accounts!","Twitter for iPhone",0,11977,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"105","25073877",2020-06-07 15:20:15,"realDonaldTrump","At the request of @SenJohnKennedy &amp; @SenBillCassidy of the Great State of Louisiana, I will be approving &amp; signing today an EMERGENCY DECLARATION which will help with all aspects of the big storm that is currently hitting your shores. FEMA is already there. God Bless You!","Twitter for iPhone",81422,19581,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"106","25073877",2020-06-07 15:10:22,"realDonaldTrump","Somebody please tell highly overrated Colin Powell that I will have gotten almost 300 Federal Judges approved (a record), Two Great Supreme Court Justices, rebuilt our once depleted Military, Choice for Vets, Biggest Ever Tax &amp; Regulation Cuts, Saved Healthcare &amp; 2A, &amp; much more!","Twitter for iPhone",169706,41146,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"107","25073877",2020-06-07 14:31:26,"realDonaldTrump","Fantastic job on @foxandfriends by new Republican Superstar @SeanParnellUSA, running for Congress (with my complete &amp; total Endorsement) against a Crazy Nancy Pelosi Puppet (who has done nothing!), &amp; a slightly older Republican Superstar, @GovMikeHuckabee. Thank you to both!","Twitter for iPhone",72535,17929,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
